id,slug,year,shadow,details
51,snowy-the-prairie-dog,2015,0,Snowy DID NOT see her shadow and winter was a no-show during the 2nd half of the season. Accuracy Score: Excellent
51,snowy-the-prairie-dog,2016,0,Snowy DID NOT see her shadow and the 2nd half of winter was mild. Accuracy Score: Excellent
51,snowy-the-prairie-dog,2017,1,Snowy DID see her shadow and winter did indeed continue. Accuracy Score: Excellent
51,snowy-the-prairie-dog,2018,0,"Snowy DID NOT see her shadow, but winter weather intensified & persisted into spring. Accuracy Score: Poor"
51,snowy-the-prairie-dog,2019,0,"Snowy DID NOT see her shadow, but instead of an early spring, we got snow and Arctic air! Accuracy Score: Very Poor!"
51,snowy-the-prairie-dog,2020,1,"Snowy SAW her shadow. A wintry pattern continued, but there were also some nice spring-like days! Her Score: Fair"
51,snowy-the-prairie-dog,2021,0,Snowy DID NOT see her shadow and an early spring arrived after some brief cold weather. Accuracy Score: Excellent!
51,snowy-the-prairie-dog,2022,1,Snowy DID see her shadow and a mixed bag of wintry weather continued. Accuracy Score: Fair
51,snowy-the-prairie-dog,2023,0,Snowy DID NOT see her shadow in contradiction to Punxsutawney Phil’s result... Accuracy Score: Stay tuned!
