id,slug,year,shadow,details
53,wildwood-willie,2011,0.0,
53,wildwood-willie,2012,0.0,
53,wildwood-willie,2013,,
53,wildwood-willie,2014,,
53,wildwood-willie,2015,,
53,wildwood-willie,2016,,
53,wildwood-willie,2017,1.0,
53,wildwood-willie,2018,1.0,
53,wildwood-willie,2019,1.0,
53,wildwood-willie,2020,1.0,
53,wildwood-willie,2021,1.0,
53,wildwood-willie,2022,0.0,
53,wildwood-willie,2023,1.0,
53,wildwood-willie,2024,0.0,
